date,ts,symbol,price,pct_change,volume
2025-11-04,2025-11-04T13:12:22,FUBO,3.685,6.5032635,20944352
2025-11-04,2025-11-04T13:12:22,COMP,8.485,9.061689,15037877
2025-11-04,2025-11-04T13:12:22,SGHC,12.11,14.678022,3837421
2025-11-04,2025-11-04T13:12:22,GT,7.38,7.1117597,15246554
2025-11-04,2025-11-04T13:14:23,HTZ,6.855,38.765182,110128633
2025-11-04,2025-11-04T13:14:23,FUBO,3.685,6.5028872,20986745
2025-11-04,2025-11-04T13:14:23,COMP,8.49,9.1259575,15128095
2025-11-04,2025-11-04T13:14:23,SGHC,12.14,14.962121,3845397
2025-11-04,2025-11-04T13:14:23,GT,7.385,7.184331,15290331
2025-11-04,2025-11-04T13:16:24,HTZ,6.975,41.19433,111307264
2025-11-04,2025-11-04T13:16:24,FUBO,3.685,6.5028872,21003679
2025-11-04,2025-11-04T13:16:24,COMP,8.5004,9.25416,15209002
2025-11-04,2025-11-04T13:16:24,SGHC,12.195,15.482946,3862897
2025-11-04,2025-11-04T13:16:24,GT,7.385,7.184331,15305355
2025-11-04,2025-11-04T13:16:45,HTZ,6.935,40.384613,111397452
2025-11-04,2025-11-04T13:16:45,FUBO,3.685,6.5028872,21020327
2025-11-04,2025-11-04T13:16:45,COMP,8.505,9.324758,15389093
2025-11-04,2025-11-04T13:16:45,SGHC,12.19,15.435596,3867074
2025-11-04,2025-11-04T13:16:45,GT,7.385,7.184331,15307203
